what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1324323661142
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324323673056
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1324323673497
started,bundle,org.eclipse.jst.jee.ui,1.0.400.v201105122000,"org.eclipse.jst.jee.ui",1324323673576
started,bundle,org.eclipse.jst.j2ee.ui,1.1.500.v201104151900,"org.eclipse.jst.j2ee.ui",1324323673652
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.500.v201012020700,"org.eclipse.jst.j2ee.navigator.ui",1324323673672
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1324323673885
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1324323673906
started,bundle,org.eclipse.jst.j2ee.core,1.2.101.v201108110300,"org.eclipse.jst.j2ee.core",1324323673939
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1324323674021
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1324323674115
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1324323674144
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1324323684337
started,bundle,org.eclipse.jst.j2ee,1.1.501.v201108231845,"org.eclipse.jst.j2ee",1324323684458
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1324323684855
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1324323684990
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1324323685901
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324323685912
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1324323686128
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1324323687991
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1324323687991
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324323691269
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1324323691498
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1324323691517
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1324323716699
opened,editor,org.chromium.debug.ui,0.3.2.201112130208,"org.chromium.debug.ui.editors.JsEditor",1324323717547
activated,editor,org.chromium.debug.ui,0.3.2.201112130208,"org.chromium.debug.ui.editors.JsEditor",1324323717603
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1324323720012
opened,editor,org.chromium.debug.ui,0.3.2.201112130208,"org.chromium.debug.ui.editors.JsEditor",1324323720309
activated,editor,org.chromium.debug.ui,0.3.2.201112130208,"org.chromium.debug.ui.editors.JsEditor",1324323720327
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1324323721475
opened,editor,org.chromium.debug.ui,0.3.2.201112130208,"org.chromium.debug.ui.editors.JsEditor",1324323721785
activated,editor,org.chromium.debug.ui,0.3.2.201112130208,"org.chromium.debug.ui.editors.JsEditor",1324323721804
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1324323722352
opened,editor,org.chromium.debug.ui,0.3.2.201112130208,"org.chromium.debug.ui.editors.JsEditor",1324323722641
activated,editor,org.chromium.debug.ui,0.3.2.201112130208,"org.chromium.debug.ui.editors.JsEditor",1324323722659
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1324323725412
opened,editor,org.chromium.debug.ui,0.3.2.201112130208,"org.chromium.debug.ui.editors.JsEditor",1324323725893
activated,editor,org.chromium.debug.ui,0.3.2.201112130208,"org.chromium.debug.ui.editors.JsEditor",1324323725912
